rule,confidence,support
83->6-3,0.4087607102943003,13167
148->6-3,0.4018334715826206,28097
148->1,0.4011469923629187,28049
83->27,0.3996026325592947,12872
1-218->148-11-6,0.398014131415943,12787
11->6-3,0.3946602941782374,143682
3-148->218-11-6,0.3913946587537092,11871
218->11-6,0.3852118557980993,34129
77->6-3,0.3850278455378101,16731
218->6-3,0.3835075283866453,33978
77->11-6,0.38274957426243844,16632
7->6-3,0.378547262307533,32895
1-148->11-6-3,0.3740953331669578,10493
55->11,0.3720112517580872,24334
27->6-3,0.36767682368924504,26522
6-1->11,0.36596701308728136,48349
138->6-3,0.36464827625473284,12809
218->1,0.36261540892570937,32127
64->6-3,0.3616717085906096,17455
3->11,0.3583886443378345,161286
316->6-3,0.3574608645698693,9956
7->11-6,0.3551750327970724,30864
138->1,0.3544282176103852,12450
294->11,0.3538933854312029,11412
4->11,0.35126829455676917,27433
64->11-6,0.34642161534955035,16719
3-148->11-1-6,0.34596109462578306,10493
1-218->11-6-3,0.34522364366420766,11091
27->11-6,0.34431752017079326,24837
148->11-6-3,0.34279625868825264,23969
138->11-6,0.331226691718621,11635
83->1,0.33090152738110024,10659
83->11-6-3,0.32556190239662236,10487
77->1,0.32544759976066645,14142
3->11-6,0.3192713390855297,143682
64->1,0.3188844225270399,15390
2->6-3,0.3148368159899364,13515
3-218->148-11-6,0.30695834303002095,11871
77->11-6-3,0.3037234777005569,13198
218->11-6-3,0.2991151041784239,26501
1->6-3,0.2926357570295967,57802
7->11-6-3,0.28735989320812905,24971
3-218->11-1-6,0.28678923279807617,11091
6-4->11,0.2845935165392159,12914
27->11-6-3,0.2784539884104583,20086
55->6-3,0.2747966733932612,17975
27->1,0.2743921035849946,19793
7->1,0.2740799558102603,23817
64->11-6-3,0.2723882143301148,13146
4->6-3,0.2703304864463424,21112
77->218,0.2636581212316473,11457
11->1,0.25237800942139454,91882
2->1,0.24944673515503063,10708
2->11-6,0.2490274186409486,10690
64->218,0.2470059259873192,11921
1->11-6,0.24477779690363605,48349
6->11-3,0.23892286663540493,143682
77->148,0.23827495742624386,10354
148->218-11-6,0.2224049655330225,15551
64->148,0.22135427458455928,10683
6->1,0.21968525410144105,132113
6-3->1,0.21797269779018025,57802
148->7,0.21239381024570236,14851
27->205,0.20116727202151552,14511
